Timestamp,Voltage (V),Current (A),Power (W)
2025-06-22T06:12:09.108Z,0.21,0.42,0
2025-06-22T06:12:10.110Z,0.21,0.42,0
2025-06-22T06:12:11.112Z,0.21,0.42,0
2025-06-22T06:12:12.113Z,0.21,0.42,0
2025-06-22T06:12:13.121Z,0.21,0.42,0
2025-06-22T06:12:14.124Z,0.21,0.42,0
2025-06-22T06:12:15.132Z,0.21,0.42,0
2025-06-22T06:12:16.134Z,0.21,0.42,0
2025-06-22T06:12:17.143Z,0.21,0.42,0
2025-06-22T06:12:18.151Z,0.21,0.42,0
2025-06-22T06:12:19.159Z,0.21,0.42,0
2025-06-22T06:12:20.160Z,0.21,0.42,0
2025-06-22T06:12:21.163Z,0.21,0.42,0
2025-06-22T06:12:22.166Z,0.21,0.42,0
2025-06-22T06:12:23.169Z,0.21,0.42,0
2025-06-22T06:12:24.170Z,0.21,0.42,0
2025-06-22T06:12:25.172Z,0.21,0.42,0
2025-06-22T06:12:26.174Z,0.21,0.42,0
2025-06-22T06:12:27.180Z,0.21,0.42,0
2025-06-22T06:12:28.190Z,0.21,0.42,0
2025-06-22T06:12:29.197Z,0.21,0.42,0
2025-06-22T06:12:30.204Z,0.21,0.42,0
2025-06-22T06:12:31.206Z,0.21,0.42,0
2025-06-22T06:12:32.210Z,0.21,0.42,0
2025-06-22T06:12:33.224Z,0.21,0.42,0
2025-06-22T06:12:34.235Z,0.21,0.42,0
2025-06-22T06:12:35.245Z,0.21,0.42,0
2025-06-22T06:12:36.256Z,0.21,0.42,0
2025-06-22T06:12:37.270Z,0.21,0.42,0
2025-06-22T06:12:38.272Z,0.21,0.42,0
2025-06-22T06:15:29.156Z,0.21,0.42,0
2025-06-22T06:15:30.156Z,0.21,0.42,0
2025-06-22T06:15:31.157Z,0.21,0.42,0
2025-06-22T06:15:32.167Z,0.21,0.42,0
2025-06-22T06:15:33.180Z,0.21,0.42,0
2025-06-22T06:15:34.186Z,0.21,0.42,0
2025-06-22T06:15:35.193Z,0.21,0.42,0
2025-06-22T06:15:36.203Z,0.21,0.42,0
2025-06-22T06:15:37.212Z,0.21,0.42,0
2025-06-22T06:15:38.221Z,0.21,0.42,0
2025-06-22T06:15:39.230Z,0.21,0.42,0
2025-06-22T06:15:40.236Z,0.21,0.42,0
2025-06-22T06:15:41.240Z,0.21,0.42,0
2025-06-22T06:15:42.249Z,0.21,0.42,0
2025-06-22T06:15:43.255Z,0.21,0.42,0
2025-06-22T06:15:44.262Z,0.21,0.42,0
2025-06-22T06:15:45.272Z,0.21,0.42,0
2025-06-22T06:15:46.276Z,0.21,0.42,0
2025-06-22T06:15:47.283Z,0.21,0.42,0
2025-06-22T06:15:48.293Z,0.21,0.42,0
2025-06-22T06:15:49.298Z,0.21,0.42,0
2025-06-22T06:15:50.311Z,0.21,0.42,0
2025-06-22T06:15:51.313Z,0.21,0.42,0
2025-06-22T06:15:52.323Z,0.21,0.42,0
2025-06-22T06:15:53.323Z,0.21,0.42,0
2025-06-22T06:15:54.332Z,0.21,0.42,0
2025-06-22T06:15:55.337Z,0.21,0.42,0
2025-06-22T06:15:56.338Z,0.21,0.42,0
2025-06-22T06:15:57.346Z,0.21,0.42,0
2025-06-22T06:17:55.576Z,0.21,0.42,0
2025-06-22T06:17:56.584Z,0.21,0.42,0
2025-06-22T06:17:57.586Z,0.21,0.42,0
2025-06-22T06:17:58.591Z,0.21,0.42,0
2025-06-22T06:17:59.598Z,0.21,0.42,0
